customer_id,date,day_of_week,total_steps,total_distance,tracker_distance,very_active_distance,moderately_active_distance,light_active_distance,sedentary_active_distance,very_active_minutes,fairly_active_minutes,lightly_active_minutes,sedentary_minutes,calories,month,total_active_minutes,steps_to_distance_ratio
1503960366,2016-04-12,Tuesday,13162,8.5,8.5,1.88,0.55,6.06,0.0,25,13,328,728,1985,4,366,1548.5
1503960366,2016-04-13,Wednesday,10735,6.97,6.97,1.57,0.69,4.71,0.0,21,19,217,776,1797,4,257,1540.2
1503960366,2016-04-14,Thursday,10460,6.74,6.74,2.44,0.4,3.91,0.0,30,11,181,1218,1776,4,222,1551.9
1503960366,2016-04-15,Friday,9762,6.28,6.28,2.14,1.26,2.83,0.0,29,34,209,726,1745,4,272,1554.5
1503960366,2016-04-16,Saturday,12669,8.16,8.16,2.71,0.41,5.04,0.0,36,10,221,773,1863,4,267,1552.6
1503960366,2016-04-17,Sunday,9705,6.48,6.48,3.19,0.78,2.51,0.0,38,20,164,539,1728,4,222,1497.7
1503960366,2016-04-18,Monday,13019,8.59,8.59,3.25,0.64,4.71,0.0,42,16,233,1149,1921,4,291,1515.6
1503960366,2016-04-19,Tuesday,15506,9.88,9.88,3.53,1.32,5.03,0.0,50,31,264,775,2035,4,345,1569.4
1503960366,2016-04-20,Wednesday,10544,6.68,6.68,1.96,0.48,4.24,0.0,28,12,205,818,1786,4,245,1578.4
1503960366,2016-04-21,Thursday,9819,6.34,6.34,1.34,0.35,4.65,0.0,19,8,211,838,1775,4,238,1548.7
1503960366,2016-04-22,Friday,12764,8.13,8.13,4.76,1.12,2.24,0.0,66,27,130,1217,1827,4,223,1570.0
1503960366,2016-04-23,Saturday,14371,9.04,9.04,2.81,0.87,5.36,0.0,41,21,262,732,1949,4,324,1589.7
1503960366,2016-04-24,Sunday,10039,6.41,6.41,2.92,0.21,3.28,0.0,39,5,238,709,1788,4,282,1566.1
1503960366,2016-04-25,Monday,15355,9.8,9.8,5.29,0.57,3.94,0.0,73,14,216,814,2013,4,303,1566.8
1503960366,2016-04-26,Tuesday,13755,8.79,8.79,2.33,0.92,5.54,0.0,31,23,279,833,1970,4,333,1564.8
1503960366,2016-04-27,Wednesday,18134,12.21,12.21,6.4,0.41,5.41,0.0,78,11,243,1108,2159,4,332,1485.2
1503960366,2016-04-28,Thursday,13154,8.53,8.53,3.54,1.16,3.79,0.0,48,28,189,782,1898,4,265,1542.1
1503960366,2016-04-29,Friday,11181,7.15,7.15,1.06,0.5,5.58,0.0,16,12,243,815,1837,4,271,1563.8
1503960366,2016-04-30,Saturday,14673,9.25,9.25,3.56,1.42,4.27,0.0,52,34,217,712,1947,4,303,1586.3
1503960366,2016-05-01,Sunday,10602,6.81,6.81,2.29,1.6,2.92,0.0,33,35,246,730,1820,5,314,1556.8
1503960366,2016-05-02,Monday,14727,9.71,9.71,3.21,0.57,5.92,0.0,41,15,277,798,2004,5,333,1516.7
1503960366,2016-05-03,Tuesday,15103,9.66,9.66,3.73,1.05,4.88,0.0,50,24,254,816,1990,5,328,1563.5
1503960366,2016-05-04,Wednesday,11100,7.15,7.15,2.46,0.87,3.82,0.0,36,22,203,1179,1819,5,261,1552.4
